job_title,location,salary,sector
Slot Tech. Manager Job in Vicksburg,"Coordinate, implement, and assist in establishing Company policy relative to the Slot operation. Assist in responsibility for the overall operation of the Slot department. Be responsible for the direct supervision of the Slot Technical staff. Assist in analyzing, selecting, and placement of new equipment and machines. Maintain two-way communication with subordinates to ensure awareness of new policies or procedures. Maintain a high-degree of professionalism when dealing with subordinates and customers. Develop and monitor compliance with Ameristar Casino Inc., policies, procedures, State Gaming Commission regulations and internal controls.Maintains a positive attitude at all times, supporting the policies of Senior Management of the Casino as well as Senior Management of Ameristar Casino, Inc.Adhere to established department and property policies and procedures regarding guest service standards.Must maintain the strictest confidence of any and all confidential information disclosed by an Ameristar entity.Coach, monitor, and develop team members for improved performance.Issuing timely performance evaluations on subordinates and offering developmental guidelines and resources to achieve goals.Comply with all Company and departmental policies, procedures and internal controls.Assure the proper functioning of slot machines.Be responsible for the selection, training, evaluation, supervision, and equitable treatment of Slot Department Personnel.Participate in the instruction of Slot Department and maintain operations within budget.Supervise the smooth and effective operation of the Slot Department.Approve machine option settings.Oversee slot maintenance and machine parts orders.Prepare input for the slot department repair budget.Oversee and assist with slot machine conversions, moves and/or changes.Authorize hopper fills and jackpot payoffs.Responsible for scheduling and manpower usage for technicians.Hire and give input towards termination of slot team members.Safeguard company assets.Organize and insure completion of maintenance programs.All other duties as assigned.Supervisory skills.General knowledge of Microsoft Word, Excel, and Outlook is a plus.Communication skills (written and oral).Guest Service skills.Analytical skills.Technical skills.Training skills.Mechanically inclined.Must be able to stand for a minimum eight (8) hour shift.Locations on casino floor are noisy and smoky.Will also encounter intoxicated guests frequently.Provide representation of department in specific project and company meetings.High school diploma or GED equivalent.Electronics degree or relative experience.6,000 hours of slot experience.PI93115548Apply Here","35,000.00 - 85,000.00 $ /year",Installation/Maintenance/Repair
Automotive Customer Service Advisor Job in Greensboro,"Greensboro, NC 27408",Commensurate with Experience,Entry Level
Machine Operator Job in Belmar,"Belmar, NJ 07719",12.50 - 13.50 $ /hour,Manufacturing/Production/Operations
Diesel Mechanic Job in Rehoboth,"Rehoboth, MA 02769",TO BE DETERMINED,Student (High School)
Facilities Maintenance Job in Woodinville,"Woodinville, WA 98072",12.00 - 13.00 $ /hour,Installation/Maintenance/Repair
Service Technician Job in Nashville,"Nashville, TN 37203",Monthly bonuses based on achieving quotas,Entry Level
Satellite Installation Technician Job in Austin,"Austin, TX 78744","32,000.00 - 36,000.00 $ /year",Installation/Maintenance/Repair
Maintenance Machinist Job in Oakland,"Oakland, CA 94607","83,496.00 - 96,660.00 $ /yearExcellent benefits and retirement",Experienced (Non-Manager)
Diesel Mechanic Job in East Orange,"East Orange, NJ 07017","35,000.00 - 50,000.00 $ /year",Experienced (Non-Manager)
Production Operator Job in Walnut Creek,"Walnut Creek, CA",$14.50+ /hour,Entry Level
Diesel Technician/Mechanic Job in Jacksonville,"Jacksonville, FL",16.00 - 18.00 $ /hour,Experienced (Non-Manager)
Janitorial Job in Englewood,"Englewood, OH 45322",15.00 - 15.50 $ /hour,Experienced (Non-Manager)
Plant Manager-Food Processing Job in Sioux City,"Sioux City, IA 51101","115,000.00 - 120,000.00 $ /yearBonus potential 50%",Manager (Manager/Supervisor of Staff)
Low Voltage Wire / Cable Installer Job in Spring Grove,"Spring Grove, IL 60081",12.00 - 17.00 $ /hourbonuses available for exceptional work,Entry Level
Corrugated Operator Job in Kent,"Kent, WA",16.00 - 24.00 $ /hourD.O.E,Experienced (Non-Manager)
Material Control Specialist Job in Greer,"Greer, SC 29651",20.00 - 31.00 $ /hour,Experienced (Non-Manager)
Express Service Technician,"State College, PA 16801",Commensurate with Experience,Student (High School)
Director of Materials Job in Tallahassee,"Tallahassee, FL 32301","85,000.00 - 95,000.00 $ /yearalong with a phenomenal benefits plan",Experienced (Non-Manager)
Instrument Repair Technician Job in Bedford,"Bedford, MA",20.00 - 23.00 $ /hour,Experienced (Non-Manager)
Field Service Job in Denver,"Denver, CO 80239",18.00 - 22.00 $ /hour,Student (High School)
Temporary Maintenance Worker Job in Vernon Hills,"Vernon Hills, IL 60061",$10.25+ /hour,Entry Level
Cable TV Technician Job in Altoona,"Altoona, PA 16601","35,000.00 - 40,000.00 $ /yearPlus Take home company vehicle, bonus opportunities,",Entry Level
HVAC Preventative Maintenance Tech (Gaithersburg,"Gaithersburg, MD 20877",Commensurate with Experience,Experienced (Non-Manager)
Express Service Technician,"Spartanburg, SC 29301",Commensurate with Experience,Entry Level
CNC Machinist - nd shift Job in New Brighton,"New Brighton, MN 55112",25.00 - 30.00 $ /hour,Experienced (Non-Manager)
Sales Reps Wanted for Sears. Invitation only interview Philadelphia Job in West Chester,"West Chester, PA 19380",Commensurate with Experience,Entry Level
Maintenance Technician Job in Jacksonville,"Jacksonville, FL 32202",15.75 - 17.00 $ /hour,Experienced (Non-Manager)
Field Installation Specialist Job in Peoria,"Peoria, IL","30,000.00 - 100,000.00 $ /year",Entry Level
Maintenance Technician Job in Marion,"Marion, OH",21.00 - 23.00 $ /year,Installation/Maintenance/Repair
Maintenance Electrical Technician Job in Brockport,"Brockport, NY 14420",24.85 - 29.81 $ /hour,Installation/Maintenance/Repair
Machine Operator- Manchaster Job in Manchester,"Manchester, NH 03101",12.00 - 12.00 $ /hour,Manufacturing/Production/Operations
HVAC Service Tech ( Oklahoma City,"Oklahoma City, OK 73102",Commensurate with Experience,Experienced (Non-Manager)
Diesel Mechanic Job in Ringwood,"Ringwood, NJ 07456","90,000.00 - 100,000.00 $ /year",Experienced (Non-Manager)
Appliance Technician Job in Akron,"Akron, OH 44312","25,000.00 - 40,000.00 $ /year",Experienced (Non-Manager)
Custodian Job in Raymond,"Raymond, MS 39154",10.85 - 11.85 $ /hour,Manufacturing/Production/Operations
Fleet Manager Job in Jackson,"Jackson, NJ 08527","45,000.00 - 60,000.00 $ /year",Experienced (Non-Manager)
Auto Service Technician - Advanced Job in Tuscaloosa,"Tuscaloosa, AL 35405",Commensurate with Experience,Experienced (Non-Manager)
Janitorial Services Field Supervisor Job in Dayton,"Dayton, OH 45422","45,000.00 - 50,000.00 $ /yearmonthly car allowance",Manager (Manager/Supervisor of Staff)
Cut Up Superintendent Job in Lillington,"Lillington, NC 27546","62,000.00 - 78,000.00 $ /year6,000",Manager (Manager/Supervisor of Staff)
Pest Control Technician Job in Stockton,"Stockton, CA 95204",Expected earnings $50k+,Entry Level
Express Service Technician,"Des Moines, IA 50315",Commensurate with Experience,Entry Level
Wanted: Hard Working Machine Operators! Job in Pottstown,"Pottstown, PA 19464",12.00 - 17.00 $ /year,Manufacturing/Production/Operations
Maintenance Assistant Job in Hackensack,"Hackensack, NJ 07601","$31,000.00+ /year",Entry Level
Auto Mechanic Job in La Mesa,"La Mesa, CA 91942",25.00 - 25.00 $ /hour,Experienced (Non-Manager)
Lawn Technician Job in Wauconda,"Wauconda, IL 60084",600.00 - 800.00 $ /week,Entry Level
Malting Laborer Job in Golden,"Golden, CO",14.00 - 15.00 $ /hour,Manufacturing/Production/Operations
Vice President of Quality Assurance Job in Owasso,"Owasso, OK 74117",Base + Bonus,"Executive (SVP, VP, Department Head, etc)"
Building Maintenance Technician Job in Alexandria,"Alexandria, VA 22304","65,000.00 - 68,000.00 $ /yearHoliday bonus, OT",Experienced (Non-Manager)
Production Assistant Job in Shrewsbury,"Shrewsbury, MA 01545",12.00 - 15.00 $ /hour,Entry Level
Machine Operator st shift and nd Shift Job in Lincolton,"Lincolton, NC",11.50 - 12.00 /hour,Manufacturing/Production/Operations
Service Technician,"Brooksville, FL 34613",Commensurate with Experience,Experienced (Non-Manager)
Chemist Organic (ink) Job in Mishawaka,"Mishawaka, IN 46545","30,000.00 - 50,000.00 $ /year",Entry Level
Print Production Specialist Job in Sterling Heights,"Sterling Heights, MI 48310",13.00 - 15.00 $ /hourbonuses,Student (Undergraduate/Graduate)
Production Supervisor Job in Hartland,"Hartland, WI 53029",Competitive salary and benefits package,Manager (Manager/Supervisor of Staff)
Cable Technician level  through  Job in Santa Clara,"Santa Clara, CA 95054",15.00 - 23.00 $ /hour,Entry Level
Building Maintenance Technician- Minneapolis,"Minneapolis, MN 55430",Commensurate with Experience,Experienced (Non-Manager)
Electrician - nd/rd Shift () Job in Romeoville,"Romeoville, IL 60446",Shift Differential Applies,Experienced (Non-Manager)
Sales Reps Wanted for Sears. Invitation only interview Philadelphia Job in Exton,"Exton, PA 19341",Commensurate with Experience,Entry Level
Cabinet Maker Job in Kent,"Kent, WA",$15.00+ /hourD.O.E,Experienced (Non-Manager)
Maintenance Technician Job in Evansville,"Evansville, IN 47715",18.00 - 25.00 $ /hour,Experienced (Non-Manager)
$K Compounding Supervisor Opportunity Job in Edison,"Edison, NJ 08837",Up to $65000.00,Experienced (Non-Manager)
Pest Control Technician Job in Pigeon Forge,"Pigeon Forge, TN 37862","28,000.00 - 35,000.00 $ /year",Entry Level
Building Maintenance Technician- Buffalo,"Buffalo, NY 14226",Commensurate with Experience,Experienced (Non-Manager)
Director of Facilities and Property Management Job in New York City,"New York City, NY 10271",competitive salary along with a comprehensive benefits package,Manager (Manager/Supervisor of Staff)
Purchasing Assistant Job in Trenton,TrentonNJ,"45,000.00 - 55,000.00 $ /year",Manufacturing/Production/Operations
HVAC Journeyman / Master Service tech (Gaithersburg,"Gaithersburg, MD 20877",Commensurate with Experience,Experienced (Non-Manager)
Wide Web Press Operator Assistant *** $./Hour ***  Hour Day and Night Shifts Job in Schaumburg,"Schaumburg, IL 60173",15.50 - 15.50 $ /hour,Experienced (Non-Manager)
Senior Equipment Technician Job in Huntington Station,"Huntington Station, NY 11746",22.00 - 24.00 $ /hour,Experienced (Non-Manager)
Field Service Technician Job in Chicago,"Chicago, IL",18.00 - 25.00 $ /hour,Student (Undergraduate/Graduate)
Press Machine Service Technician: IL/EN/ Job in Arlington Heights,"Arlington Heights, IL","0.00 - 70,000.00 $ /year",Experienced (Non-Manager)
Landscape Crew Member Job in Newark,"Newark, OH",10.00 - 12.50 $ /hour,Entry Level
HVAC SERVICE AND INSTALL TECHNICIAN Job in Energy,"Energy, IL 62933",12.00 - 15.00 $ /hour,Experienced (Non-Manager)
Picker/Packer Job in Kent,"Kent, WA 98032",Up to $35000.00,Experienced (Non-Manager)
Assembler Job in Billerica,"Billerica, MA",14.50 - 14.50 $ /hour,Experienced (Non-Manager)
Express Service Technician,"Mary Esther, FL 32569",Commensurate with Experience,Experienced (Non-Manager)
Customer Service - Food Manufacturing Job in Oxnard,"Oxnard, CA 93035",Up to $14.00,Experienced (Non-Manager)
Commercial Service Technician Job in Cincinnati,"Cincinnati, OH 45220","16.00 - 19.00 $ /hourfull benefits, company vehicle and more",Entry Level
Electrical Technician Job in Little Falls,"Little Falls, NJ 07424",20.00 - 24.00 $ /hour,Experienced (Non-Manager)
Automatic Door Technician Job in Nashville,"Nashville, TN",15.00 - 30.00 $ /hourBonus,Experienced (Non-Manager)
Counter-Sorter Job in Kent,"Kent, WA 98032",10.66 - 12.54 /hour,Entry Level
Machine Builder-WELDER Job in Franklin Lakes,"Franklin Lakes, NJ","52,000.00 - 62,000.00 $ /yearBenefits, Vacation, Holidays, Medical",Experienced (Non-Manager)
Maintenance Technician Job in Schertz,"Schertz, TX 78154",18.00 - 22.00 $ /hour,Experienced (Non-Manager)
Maintenance Technician Job in Philadelphia,"Philadelphia, PA 19102",16.00 - 21.00 $ /year,Experienced (Non-Manager)
Machining Supervisor Job in Overland Park,"Overland Park, KS","70,000.00 - 95,000.00 $ /year",Manager (Manager/Supervisor of Staff)
Utility Worker Job in Fresno,"Fresno, CA 93721",11.00 - 11.00 $ /hour,Entry Level
Industrial electrician Technician Job in Little Rock,"Little Rock, AR",21.00 - 24.00 $ /yearVehicle +Gas card+Cell+Benefits+Ot after 8 hours worked,Experienced (Non-Manager)
First Pressman Job in Roanoke,"Roanoke, VA 24019",Comprehensive Benefits Package,Experienced (Non-Manager)
Assembly Job in Fremont,"Fremont, CA 94538",10.25 - 11.75 $ /hour,Manufacturing/Production/Operations
Packaging Machine Operator Job in Mount Laurel,"Mount Laurel, NJ 08054","bonus eligible, shift differential",Experienced (Non-Manager)
Operations Manager - Manufacturing Job in Wichita,"Wichita, KS",Excellent Base,Manager (Manager/Supervisor of Staff)
Facilities Maintenance Job in Smyrna,"Smyrna, TN 37167",17.34 - 20.62 $ /hour,Experienced (Non-Manager)
Manual Machinist,"Denver, CO 80239",15.00 - 20.00 $ /hour,Manufacturing/Production/Operations
Automotive Technician/Mechanic Job in Lutz,"Lutz, FL 33549","20,000.00 - 60,000.00 $ /yearCommissions also",Experienced (Non-Manager)
Domestic Couple,"Bedford, NY","$1,000,000.00+ /yearDOE",Student (High School)
HVAC Journeyman/ Master Service Tech ( Charles County,"La Plata, MD 20646",Commensurate with Experience,Experienced (Non-Manager)
Maintenance Supervisor Job in Albemarle,"Albemarle, NC 28001","50,000.00 - 60,000.00 $ /year5000",Manager (Manager/Supervisor of Staff)
Welder Job in Raymond,"Raymond, MS 39154",18.15 - 19.15 $ /hour,Manufacturing/Production/Operations
Service Technician Job in Fishers,"Fishers, IN 46038","25,000.00 - 75,000.00 $ /yearHoliday & Vacation pay",Experienced (Non-Manager)
Machine Operator Job in West Windsor,"West Windsor, NJ 08550",12.00 - 22.00 $ /hour,Experienced (Non-Manager)
Small Engine Mechanic Job in Mooresville,"Mooresville, IN 46158",Hourly wages will depend on experience,Entry Level
FACILITIES MANAGER Job in West Berlin,"West Berlin, NJ 08091","45,000.00 - 55,000.00 $ /year",Manager (Manager/Supervisor of Staff)
Landscape Architect Job in Lemont,"Lemont, IL 60439","$35,000.00+ /year",Experienced (Non-Manager)
Packer Job in King Of Prussia,"King Of Prussia, PA 19406",11.00 - 11.50 $ /hourBenefits,Experienced (Non-Manager)
Machine Technician Job in Romeoville,"Romeoville, IL 60446",16.00 - 18.00 $ /hour,Entry Level
Second Shift Maintenance Technician Job in Columbus,"Columbus, OH",20.56 - 24.81 $ /hour,Installation/Maintenance/Repair
Wiring Technician Job in Omaha,"Omaha, NE 68107",0.00 - 12.00 $ /hour,Entry Level
Service Technician,"Birmingham, AL 35209",Commensurate with Experience,Experienced (Non-Manager)
Industrial Mechanic/Mechanic Helper Job in Twin Falls,"Twin Falls, ID 83301",17.74 - 26.13 $ /hourHealth Care and Vacation Benefits,Experienced (Non-Manager)
Commercial HVAC Service Technician Job in Lake Bluff,"Lake Bluff, IL 60044","75,000.00 - 85,000.00 $ /year",Experienced (Non-Manager)
Drill/Router Operator - nd Shift Job in Monroeville,"Monroeville, PA 15146",Compunetics offers a competitive salary and benefits package.,Experienced (Non-Manager)
Automotive Center Manager - Miami,"Miami, FL 33180",Commensurate with Experience,Manager (Manager/Supervisor of Staff)
Plant Operator Job in El Paso,"El Paso, TX",11.00 - 12.00 $ /hour,Manufacturing/Production/Operations
Field Tech Job in Overland Park,Field Tech,"50,000.00 - 75,000.00 $ /year",Installation/Maintenance/Repair
Machinist/Shop Foreman Job in Cleveland,"Cleveland, OH 44110",18.00 - 20.00 $ /hour,Manager (Manager/Supervisor of Staff)
Machinist Job in Leetonia,"Leetonia, OH 44431",13.00 - 20.00 $ /hour,Experienced (Non-Manager)
Grounds TDA A Applicator Job in Katy,"Katy, TX 77492",18.33 - 27.51 $ /hour,Experienced (Non-Manager)
Sales Representative - $,"Brunswick, GA 31520",Up to $100000.00,Experienced (Non-Manager)
Tool and Die Maker Job in Faxon,"Faxon, PA 17701",Yearly Bonuses,Experienced (Non-Manager)
Facilities Technician Job in Sumner,"Sumner, WA",$11.00+ /hour,Entry Level
Helpdesk Support Analyst (POS & Retail) Job in New York City,"New York City, NY 10001","65,000.00 - 70,000.00 $ /year",Experienced (Non-Manager)
Automotive Body Technician Job function wrap(EL,Multiple locations,25.00 - 35.00 $ /hour,Experienced (Non-Manager)
Sales Reps Wanted for Sears. Invitation only interview Philadelphia Job in Philadelphia,"Philadelphia, PA 19019",Commensurate with Experience,Entry Level
Maintenance Machinist Job in Mahwah,"Mahwah, NJ","52,000.00 - 62,000.00 $ /yearBenefits, Vacation, Holidays, Medical",Experienced (Non-Manager)
Building Maintenance Technician Job in Flushing,"Flushing, NY 11355",Negotiable,Entry Level
Pipe-layer Job in West Palm Beach,"West Palm Beach, FL 33401",17.00 - 20.00 $ /year,Experienced (Non-Manager)
Plane Captain Job in China Lake Nwc,"China Lake Nwc, CA 93555",0.00 - 29.50 $ /hour,Installation/Maintenance/Repair
Domestic Couple,"Bedford, NY","$1,000,000.00+ /yearDOE",Student (High School)
Bindery Technician (N) Job in Salt Lake City,"Salt Lake City, UT 84112",9.28 - 14.00 $ /hour,Entry Level
Maintenance Technician Job in Milwaukee,"Milwaukee, WI 53224",18.00 - 21.00 $ /hour,Installation/Maintenance/Repair
CNC Machinist Job in Hampton,"Hampton, VA 23661","40,000.00 - 80,000.00 $ /year",Experienced (Non-Manager)
IT Support Technician,"North Ridgeville, OH 44039","19.00 - 30.00 $ /hourMedical, Vacation, Holiday",Experienced (Non-Manager)
Landscaper Job in Fairfax,"Fairfax, VA 22031","45,000.00 - 55,000.00 $ /year",Manager (Manager/Supervisor of Staff)
Demand Planner Job in Neptune City,"Neptune City, NJ","65,000.00 - 75,000.00 $ /year",Experienced (Non-Manager)
CNC Machine Operators Job in Janesville,"Janesville, WI 53545",14.00 - 15.00 $ /year,Experienced (Non-Manager)
Diesel Truck Technician Job in Sarasota,"Sarasota, FL 34243",Eligible for monthly bonus,Experienced (Non-Manager)
Mechanic Diesel Job in Jersey City,"Jersey City, NJ",21.00 - 30.00 $ /yearOvertime,Experienced (Non-Manager)
Manufacturing Test Technician Job in Secaucus,"Secaucus, NJ 07094",Will be discussed during the interview,Entry Level
